,index,titles,groups,language
0,9224,The Lion  the Witch and the Wardrobe (Chronicles of Narnia  #1),0,eng
1,8250,Imajica: The Reconciliation,0,eng
2,9448,The Irish Anatomist: A Study of Flann O'Brien,0,eng
3,3464,Virgil  Vol 2: Aeneid Books 7-12  Appendix Vergiliana,0,mul
4,1306,A Life in Letters,0,eng
5,4232,Heart & Hands: A Midwife's Guide to Pregnancy & Birth,0,eng
6,9457,The Guide to Hollywood and Beverly Hills,0,eng
7,6265,Heathersleigh Homecoming (Secrets of Heathersleigh Hall  #3),0,eng
8,8245,Visions of Heaven and Hell,0,eng
9,1297,The Short Stories,0,en-US
10,8244,On the Shoulders of Giants: The Great Works of Physics and Astronomy,0,eng
11,7066,Gabriel García Márquez: One Hundred Years of Solitude,0,eng
12,7062,Situationist International Anthology: Revised and Expanded Edition,0,eng
13,6259,The Apple that Astonished Paris,0,eng
14,2421,Plants and Landscapes for Summer-Dry Climates of the San Francisco Bay Region,0,en-US
15,6255,His Dark Materials Trilogy (Northern Lights; The Subtle Knife; The Amber Spyglass),0,eng
16,6252,Harper Lee's To Kill a Mockingbird (Bloom's Guides),0,eng
17,2422,In Focus: National Geographic Greatest Portraits,0,eng
18,2424,Portrait in Death (In Death  #16),0,en-US
19,9477,Six Frigates: The Epic History of the Founding of the U. S. Navy,0,eng
20,9478,Power  Sex  Suicide: Mitochondria and the Meaning of Life,0,eng
21,4252,Strangers In Paradise  Pocket Book 5,0,eng
22,6234,Les Miserables (Stepping Stones),0,eng
23,6233,Les Misérables,0,eng
24,8229,The Complete Stories,0,eng
25,4242,Later Works: Black Boy (American Hunger) / The Outsider,0,eng
26,4260,Lyrical and Critical Essays,0,eng
27,9446,The Burning Plain and Other Stories,0,en-US
28,6278,The Complete Aubrey/Maturin Novels (5 Volumes),0,eng
29,6301,Flowers of Evil and Other Works/Les Fleurs du Mal et Oeuvres Choisies : A Dual-Language Book (Dover Foreign Language Study Guides) (English and French Edition),0,fre
30,6300,The Writer of Modern Life: Essays on Charles Baudelaire,0,eng
31,8272,Favorite Tales of Sholom Aleichem,0,en-US
32,7051,Shamanism: Archaic Techniques of Ecstasy,0,eng
33,1341,The Grapes of Wrath and Other Writings 1936–1941: The Long Valley / The Grapes of Wrath / The Log from the Sea of Cortez / The Harvest Gypsies,0,eng
34,6297,Center City Philadelphia in the 19th Century (Images of America: Pennsylvania),0,eng
35,6296,Sebastopol (Images of America: California),0,eng
36,9432,The Real James Herriot: A Memoir of My Father,0,en-US
37,1335,A New Hope: The Illustrated Screenplay (Star Wars  Episode IV),0,eng
38,4216,The Voyage of the Jerle Shannara Trilogy (Voyage of the Jerle Shannara  #1-3),0,eng
39,4217,The Heritage of Shannara (Heritage of Shannara  #1-4),0,eng
40,7061,Storming the Gates of Paradise: Landscapes for Politics,0,en-US
41,1329,Trimalchio,0,eng
42,6288,The Complete Monty Python's Flying Circus: All the Words: Volume 1,0,eng
43,9436,The Complete Essays of Mark Twain,0,eng
44,9438,The Portable Arthur Miller,0,eng
45,9439,Collected Plays 1944-1961,0,en-US
46,1323,The Frequencies,0,eng
47,9441,Discovering Great Artists: Hands-On Art for Children in the Styles of the Great Masters,0,eng
48,6286,The Complete Monty Python's Flying Circus: All the Words  Vol. 2,0,eng
49,6282,Blue at the Mizzen (Aubrey & Maturin #20),0,eng
50,9444,Juan Rulfo's Mexico,0,eng
51,6281,The Truelove (Aubrey & Maturin #15),0,eng
52,6279,The Hundred Days (Aubrey & Maturin #19),0,eng
53,7053,The Myth of the Eternal Return or  Cosmos and History,0,eng
54,1347,The Quest for Longitude: The Proceedings of the Longitude Symposium  Harvard University  Cambridge  Massachusetts  November 4-6  1993,0,eng
55,6232,Les Misérables,0,eng
56,1271,The Shadow of the Wind,0,eng
57,3447,Great Short Works of Fyodor Dostoevsky,0,eng
58,2445,San Francisco Ballet at Seventy-Five,0,en-US
59,1237,My War Gone By  I Miss It So,0,eng
60,9530,Beat That! Cookbook,0,eng
61,3446,The Idiot,0,eng
62,1234,Dispatches from the Tenth Circle: The Best of the Onion,0,eng
63,4284,The Sideways Guide to Wine and Life,0,eng
64,2447,Teaching Classical Ballet,0,eng
65,4286,Sideways: The Shooting Script,0,eng
66,3445,Demons,0,eng
67,8214,Sonnets,0,eng
68,9526,The Damned (Vampire Huntress  #6),0,eng
69,3444,The Best Short Stories,0,eng
70,9540,Corvette,0,eng
71,7079,The Lightning Thief (Percy Jackson and the Olympians  #1),0,en-US
72,4292,My War Gone by  I Miss It So,0,en-GB
73,4293,Will You Miss Me When I'm Gone? The Carter Family and Their Legacy in American Music,0,eng
74,4294,Bird Songs: Of North America,0,eng
75,4295,National Geographic Field Guide to the Birds of North America,0,eng
76,1220,Middlesex Borough (Images of America: New Jersey),0,eng
77,6192,Mayflower Treasure Hunt (A to Z Mysteries: Super Edition  #2),0,en-US
78,9550,Standard Catalog of Smith & Wesson,0,en-US
